"title","published_at","author","url","label","summary_quality","output_file","included_in_section","has_summary","used_as_representative_article","summary_length","notes"
"2026 5 12 古橋研ゼミまとめ","2026-05-19","YUTO Watanabe","https://medium.com/furuhashilab/2026-5-12-%E5%8F%A4%E6%A9%8B%E7%A0%94-%E8%AC%9B%E7%BE%A9%E3%81%BE%E3%81%A8%E3%82%81-af2d6b20e693?source=rss----bd92ed991eb9---4","student_project","full_text_reviewed","06_student_projects.md","all_article_summary_list","true","false","150",""
"こんにちは。","2026-05-19","Mihiro Takizawa","https://medium.com/furuhashilab/%E3%81%93%E3%82%93%E3%81%AB%E3%81%A1%E3%81%AF-0b40f6293025?source=rss----bd92ed991eb9---4","event_report","full_text_reviewed","04_events.md","all_article_summary_list","true","false","106",""
"翻訳プロジェクト進捗報告：『Open Mapping towards Sustainable Development Goals』日本語連載の進捗状況について","2026-05-19","SATOAKI","https://medium.com/furuhashilab/%E7%BF%BB%E8%A8%B3%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88%E9%80%B2%E6%8D%97%E5%A0%B1%E5%91%8A-open-mapping-towards-sustainable-development-goals-%E6%97%A5%E6%9C%AC%E8%AA%9E%E9%80%A3%E8%BC%89%E3%81%AE%E9%80%B2%E6%8D%97%E7%8A%B6%E6%B3%81%E3%81%AB%E3%81%A4%E3%81%84%E3%81%A6-51c909c21114?source=rss----bd92ed991eb9---4","openstreetmap","full_text_reviewed","02_openstreetmap.md","both","true","true","188",""
"【Youth①】Youth Mappers のホームページの理解を深める","2026-05-18","SAKURA NAKAMIZO","https://medium.com/furuhashilab/youth%E2%91%A0-youth-mappers-%E3%81%AE%E3%83%9B%E3%83%BC%E3%83%A0%E3%83%9A%E3%83%BC%E3%82%B8%E3%81%AE%E7%90%86%E8%A7%A3%E3%82%92%E6%B7%B1%E3%82%81%E3%82%8B-5cdc27da016a?source=rss----bd92ed991eb9---4","openstreetmap","full_text_reviewed","02_openstreetmap.md","all_article_summary_list","true","false","182",""
"3日間のサバイバル生活⛺️","2026-05-18","Himari Nonaka","https://medium.com/furuhashilab/3%E6%97%A5%E9%96%93%E3%81%AE%E3%82%B5%E3%83%90%E3%82%A4%E3%83%90%E3%83%AB%E7%94%9F%E6%B4%BB-%EF%B8%8F-c46fe557b948?source=rss----bd92ed991eb9---4","fieldwork","full_text_reviewed","07_fieldwork.md","all_article_summary_list","true","false","140",""
"5/19ドローン部２週報：ODMを動かすためにMacと格闘した","2026-05-18","Tomoya Aiko","https://medium.com/furuhashilab/5-19%E3%83%89%E3%83%AD%E3%83%BC%E3%83%B3%E9%83%A8%EF%BC%92%E9%80%B1%E5%A0%B1-odm%E3%82%92%E5%8B%95%E3%81%8B%E3%81%99%E3%81%9F%E3%82%81%E3%81%ABmac%E3%81%A8%E6%A0%BC%E9%97%98%E3%81%97%E3%81%9F-ce8586339390?source=rss----bd92ed991eb9---4","qgis_gis_tools","full_text_reviewed","05_gis_tools.md","all_article_summary_list","true","false","142",""
"VF週報 ツリーハウス合宿での動画撮影","2026-05-18","Himari Nonaka","https://medium.com/furuhashilab/vf%E9%80%B1%E5%A0%B1-%E3%83%84%E3%83%AA%E3%83%BC%E3%83%8F%E3%82%A6%E3%82%B9%E5%90%88%E5%AE%BF%E3%81%A7%E3%81%AE%E5%8B%95%E7%94%BB%E6%92%AE%E5%BD%B1-e515e257be4e?source=rss----bd92ed991eb9---4","fieldwork","full_text_reviewed","07_fieldwork.md","all_article_summary_list","true","false","112",""
"ツリーハウス、新たな土地開発へ⛰️","2026-05-18","Miwa Yonekubo","https://medium.com/furuhashilab/%E3%83%84%E3%83%AA%E3%83%BC%E3%83%8F%E3%82%A6%E3%82%B9-%E6%96%B0%E3%81%9F%E3%81%AA%E5%9C%9F%E5%9C%B0%E9%96%8B%E7%99%BA%E3%81%B8-b36ecdf9c571?source=rss----bd92ed991eb9---4","fieldwork","full_text_reviewed","07_fieldwork.md","all_article_summary_list","true","false","108",""
"古橋研ってジオ展だけでガチャガチャやるわけじゃないのよ‼！","2026-05-18","Shota Arakawa","https://medium.com/furuhashilab/%E5%8F%A4%E6%A9%8B%E7%A0%94%E3%81%A3%E3%81%A6%E3%82%B8%E3%82%AA%E5%B1%95%E3%81%A0%E3%81%91%E3%81%A7%E3%82%AC%E3%83%81%E3%83%A3%E3%82%AC%E3%83%81%E3%83%A3%E3%82%84%E3%82%8B%E3%82%8F%E3%81%91%E3%81%98%E3%82%83%E3%81%AA%E3%81%84%E3%81%AE%E3%82%88-ea5e631453f6?source=rss----bd92ed991eb9---4","lab_overview","full_text_reviewed","01_lab_overview.md","all_article_summary_list","true","false","235",""
"森ガールへの第一歩⛰️ 斜面開拓から始まるGW","2026-05-18","REARA KATO","https://medium.com/furuhashilab/%E3%83%84%E3%83%AA%E3%83%BC%E3%83%8F%E3%82%A6%E3%82%B9%E5%90%88%E5%AE%BF-eda2f9bcaefa?source=rss----bd92ed991eb9---4","student_project","full_text_reviewed","06_student_projects.md","all_article_summary_list","true","false","126",""
